Period,Month,CCI,National TV GRPs,Magazine GRPs,Paid Search,Display,Facebook Impressions,Wechat,Sales Event,Black Friday,July 4th,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
6/9/14,6/1/14,83,55,14,370036,40954839,3055470,2352,0,0,0,32450,223925,22452171,0,18502668,0,109219,160961,99856,3055470,0,0
6/16/14,6/1/14,83,53,14,313009,39089706,0,1071,0,0,0,32450,213124,20749729,0,18339977,0,43222,168573,101214,0,0,0
6/23/14,6/1/14,83,54,14,305565,41109309,0,893,0,0,0,32450,210238,12860376,0,28248933,0,50027,175670,79868,0,0,0
6/30/14,6/1/14,82,66,14,301298,34310576,0,587,0,0,0,32450,204931,25232198,0,9078378,0,118397,129822,53079,0,0,0
7/7/14,7/1/14,82,67,14,368720,41944702,16726148,663,1,0,1,15248,372945,21132085,14357754,6454863,0,65621,218449,84650,16726148,0,0
7/14/14,7/1/14,82,64,14,389030,40428792,402,663,1,0,0,15248,258460,14738549,9211337,16478906,0,114280,163327,111423,402,0,0
7/21/14,7/1/14,82,67,14,426069,38459922,3248667,1250,1,0,0,15248,255097,20811313,6909527,10739082,0,116867,183254,125948,3248667,0,0
7/28/14,7/1/14,83,56,17,411523,40901660,2155449,1683,1,0,0,15248,259692,22348479,14426694,4126487,0,68719,246225,96579,2155449,0,0
8/4/14,8/1/14,83,61,17,435209,39964228,1313728,1103,1,0,0,20150,252732,17405852,17312942,5245434,0,89118,235619,110472,1313728,0,0
8/11/14,8/1/14,83,59,17,361655,40553043,2863637,585,1,0,0,20150,249098,19798269,10293422,10461352,0,77585,171690,112380,2863637,0,0
8/18/14,8/1/14,83,58,17,420119,41364728,325,518,1,0,0,20150,250677,16729386,12785754,11849588,0,102956,169382,147781,325,0,0
8/25/14,8/1/14,83,61,17,360121,34261155,430,518,0,0,0,20150,215834,17111235,11182321,5967599,0,109652,156019,94450,430,0,0
9/1/14,9/1/14,85,77,0,322346,40815276,704,653,0,0,0,32525,213312,16928464,12449253,11437559,0,38218,166503,117625,704,0,0
9/8/14,9/1/14,85,89,0,398204,38057626,18300302,720,0,0,0,32525,216456,14537185,13609584,9910857,0,163447,132745,102012,18300302,0,0
9/15/14,9/1/14,85,87,0,377877,35509285,15213692,788,0,0,0,32525,220809,13527219,5190665,16791401,0,86122,158661,133094,15213692,0,0
9/22/14,9/1/14,85,90,0,350288,40064446,7247411,587,0,0,0,32525,220991,20947155,10900283,8217008,0,79543,170278,100467,7247411,0,0
9/29/14,9/1/14,87,80,0,422685,40675937,3131468,663,0,0,0,32525,218782,23571974,0,17103963,0,96979,241247,84459,3131468,0,0
10/6/14,10/1/14,87,66,0,358800,42019602,14494397,663,0,0,0,35235,213361,18375731,0,23643871,0,97555,184512,76733,14494397,0,0
10/13/14,10/1/14,87,69,0,332940,40172886,13230595,696,0,0,0,35235,212648,18105149,0,22067737,0,80692,162186,90062,13230595,0,0
10/20/14,10/1/14,87,53,0,314011,29536589,17763124,720,0,0,0,35235,208313,14489061,0,15047528,0,69856,167397,76758,17763124,0,0
10/27/14,10/1/14,89,56,20,413416,35938452,5316261,735,0,0,0,35235,212960,14693573,0,21244879,0,60639,260730,92047,5316261,0,0
11/3/14,11/1/14,89,46,20,362310,38488870,14659929,1368,0,0,0,35337,209319,16143168,14516918,7828784,0,97133,156230,108947,14659929,0,0
11/10/14,11/1/14,89,44,20,405390,46685554,10970829,1476,0,0,0,35337,224771,18783601,16221845,11680108,0,93770,256154,55466,10970829,0,0
11/17/14,11/1/14,89,43,20,316528,34290500,3326546,1944,1,0,0,35337,249513,20234482,5640792,8415226,0,67247,103746,145535,3326546,0,0
11/24/14,11/1/14,89,46,20,336391,42199166,25071778,5136,1,1,0,35337,486625,25946277,10760253,5492636,0,85763,178989,71639,25071778,0,0
12/1/14,12/1/14,94,32,17,291176,47796221,29306480,2160,1,0,0,35450,259259,29530083,7714006,10552132,0,90672,148454,52050,29306480,0,0
12/8/14,12/1/14,94,57,17,308303,33844477,14806586,1800,1,0,0,35450,254975,20945687,6310091,6588699,0,88228,166203,53872,14806586,0,0
12/15/14,12/1/14,94,64,17,417380,45778923,24464832,1800,1,0,0,35450,259412,20953523,13245775,11579625,0,146635,130733,140012,24464832,0,0
12/22/14,12/1/14,94,64,17,262090,39198834,38534317,1800,0,0,0,35450,229423,16855657,10575216,11767961,0,19230,194546,48314,38534317,0,0
12/29/14,12/1/14,98,65,19,274660,39640330,33821247,693,0,0,0,35450,230369,16533319,9340545,13766466,0,35203,144453,95004,33821247,0,0
1/5/15,1/1/15,98,61,19,296933,34696403,13303858,602,0,0,0,35166,230010,10947260,16645699,7103444,0,79003,122757,95173,13303858,0,0
1/12/15,1/1/15,98,65,19,340766,38252230,0,627,0,0,0,35166,222221,22605133,0,15647097,0,54160,174227,112379,0,0,0
1/19/15,1/1/15,98,68,19,300377,39599333,0,738,0,0,0,35166,214672,16758457,0,22840876,0,78652,144267,77458,0,0,0
1/26/15,1/1/15,95,62,16,387788,43014669,0,702,0,0,0,35166,218453,19083393,0,23931276,0,96575,172969,118244,0,0,0
2/2/15,2/1/15,95,62,16,357803,39505335,11044687,819,0,0,0,30455,218490,20789509,0,18715826,0,99771,177661,80371,11044687,0,0
2/9/15,2/1/15,95,48,16,335975,42916816,11750888,702,0,0,0,30455,222664,25800645,0,17116171,0,48249,152441,135285,11750888,0,0
2/16/15,2/1/15,95,58,16,413703,39241417,9292861,819,0,0,0,30455,221865,20072766,0,19168651,0,115806,193501,104396,9292861,0,0
2/23/15,2/1/15,93,52,0,363560,36425874,10394345,966,0,0,0,30455,221499,14983876,0,21441998,0,110347,175956,77257,10394345,0,0
3/2/15,3/1/15,93,58,0,362080,46127880,8753955,1113,0,0,0,30234,224803,23854095,12767907,9505878,0,135039,170281,56760,8753955,0,0
3/9/15,3/1/15,93,60,0,362385,40775576,5295171,903,0,0,0,30234,214701,21850038,10920646,8004892,0,30239,200637,131509,5295171,0,0
3/16/15,3/1/15,93,73,0,355386,38359002,9574044,878,0,0,0,30234,209425,18109429,0,20249573,0,102323,151257,101806,9574044,0,0
3/23/15,3/1/15,93,53,0,385440,35943444,0,945,0,0,0,30234,213862,13008102,0,22935342,0,113060,190711,81669,0,0,0
3/30/15,3/1/15,96,70,0,337338,39472576,0,1013,0,0,0,30234,207935,22338620,7249414,9884542,0,71227,210940,55171,0,0,0
4/6/15,4/1/15,96,51,0,344335,40352110,0,743,0,0,0,30240,206922,23509154,16842956,0,0,110553,165614,68168,0,0,0
4/13/15,4/1/15,96,72,0,371530,41327803,11504439,810,0,0,0,30240,204897,22560425,10513602,8253776,0,125856,164164,81510,11504439,0,0
4/20/15,4/1/15,96,63,0,387501,40081149,5625945,918,0,0,0,30240,215718,20863156,11444923,7773070,0,127400,210749,49352,5625945,0,0
4/27/15,4/1/15,91,34,17,326268,36680568,10241105,995,0,0,0,30240,210550,20645604,5332697,10702267,0,59380,185190,81698,10241105,0,0
5/4/15,5/1/15,91,46,17,363555,34772169,15524325,918,0,0,0,30278,205895,14537450,14740737,5493982,0,128134,124780,110641,15524325,0,0
5/11/15,5/1/15,91,40,17,354542,40298609,19298410,995,0,0,0,30278,219155,21203245,15298338,3797026,0,61822,188494,104226,19298410,0,0
5/18/15,5/1/15,91,45,17,385458,35604328,14182773,918,0,0,0,30278,220677,19924683,15679645,0,0,154946,165946,64566,5432662,0,8750111
5/25/15,5/1/15,91,68,17,409811,44932116,9559092,842,0,0,0,30278,223331,20365975,24566141,0,0,138437,156562,114812,6503622,0,3055470
6/1/15,6/1/15,96,62,14,349911,37200521,0,842,0,0,0,20262,227658,20902954,2913184,13384383,0,70180,178174,101557,0,0,0
6/8/15,6/1/15,96,62,14,365316,36438803,0,1872,0,0,0,20262,225582,15691888,2576273,18170642,0,114812,110507,139997,0,0,0
6/15/15,6/1/15,96,48,14,445164,36557277,7628776,1071,0,0,0,20262,222355,16528657,16572679,3455941,0,135356,230474,79334,7628776,0,0
6/22/15,6/1/15,96,23,14,365853,43697798,0,1148,0,0,0,20262,225081,22112680,7359230,14225888,0,60560,217414,87879,0,0,0
6/29/15,6/1/15,93,42,19,376820,38180793,22813503,842,0,0,0,20262,212266,11860779,0,26320014,0,95030,214934,66856,22813503,0,0
7/6/15,7/1/15,93,42,19,296518,38979450,17641889,918,1,0,1,20412,376145,20793494,5822319,12363637,0,39049,177769,79700,17641889,0,0
7/13/15,7/1/15,93,50,19,363910,31411030,6329283,1061,1,0,0,20412,252346,15072365,16338665,0,0,133956,222740,7214,6329283,0,0
7/20/15,7/1/15,93,65,19,363810,42081525,32047886,1432,1,0,0,20412,256458,25950201,16131324,0,0,164693,199117,0,32047886,0,0
7/27/15,7/1/15,92,63,18,355093,41446146,37094851,2001,1,0,0,20412,272601,20679110,18194008,2573028,0,142915,212178,0,37094851,0,0
8/3/15,8/1/15,92,67,18,286216,42764802,38649340,1548,1,0,0,20380,273482,20577941,16103010,6083851,0,105491,180725,0,38649340,0,0
8/10/15,8/1/15,92,60,18,404839,44242065,21177270,1225,1,0,0,20380,277213,20801234,10560731,12880100,0,177438,227401,0,21177270,0,0
8/17/15,8/1/15,92,62,18,366889,39619028,15443832,1165,1,0,0,20380,265987,26005372,9907430,3706226,0,261581,105308,0,15443832,0,0
8/24/15,8/1/15,92,64,18,364287,44988130,6505043,743,0,0,0,20380,234512,23927914,5340663,15719553,0,155102,209185,0,6505043,0,0
8/31/15,8/1/15,87,61,16,351099,36741713,23630695,878,0,0,0,20380,226099,20503840,8767854,7470019,0,115700,235399,0,23630695,0,0
9/7/15,9/1/15,87,59,16,315396,38820392,19776493,945,0,0,0,35225,225283,16372250,8563242,13884900,0,82023,169372,64001,19776493,0,0
9/14/15,9/1/15,87,63,16,326499,42884885,22952496,1238,0,0,0,35225,227697,17362064,0,25522821,0,50314,146314,129871,22952496,0,0
9/21/15,9/1/15,87,72,16,314653,38746931,33373897,1352,0,0,0,35225,226737,22692427,7443991,8610513,0,82984,138328,93341,33373897,0,0
9/28/15,9/1/15,90,73,0,351509,38424293,28183653,1173,0,0,0,35225,233519,14806047,0,23618246,0,74638,214562,62309,28183653,0,0
10/5/15,10/1/15,90,70,0,356570,35042484,22245639,918,0,0,0,35320,231252,23987639,0,11054845,0,128921,187742,39907,22245639,0,0
10/12/15,10/1/15,90,74,0,359867,38579983,24376835,936,0,0,0,35320,222784,17511042,10739552,10329389,0,160896,127600,71371,24376836,0,0
10/19/15,10/1/15,90,70,0,337032,42831786,24070990,945,0,0,0,35320,223026,15126985,17659951,10044850,0,97279,141616,98137,24070989,0,0
10/26/15,10/1/15,91,38,17,370844,43832292,17147335,945,0,0,0,35320,222534,22929250,14045291,6857751,0,67254,230033,73557,17147335,0,0
11/2/15,11/1/15,91,36,17,352175,36818566,34285185,1728,1,0,0,35334,243124,15043319,10697388,0,11077859,55406,155110,141659,0,34285185,0
11/9/15,11/1/15,91,36,17,339625,33698435,49651995,1836,1,0,0,35334,255674,18225744,5953518,0,9519173,36219,256212,47194,0,49651995,0
11/16/15,11/1/15,91,39,17,341964,36219103,66310488,2304,1,0,0,35334,266210,17283713,10133963,0,8801427,152491,126239,63234,0,66310488,0
11/23/15,11/1/15,91,42,17,370987,37021776,6943136,5616,1,0,0,35334,290384,14316562,14985397,0,7719817,94768,224190,52029,0,6943135,0
11/30/15,11/1/15,93,42,20,329024,37425336,21576784,2520,1,1,0,35334,479502,17319786,9202743,0,10902807,52341,203447,73236,0,21576784,0
12/7/15,12/1/15,93,41,20,407896,44923126,33814516,2268,1,0,0,35197,259923,23974654,4569398,5982598,10396476,175352,180554,51990,0,33814516,0
12/14/15,12/1/15,93,40,20,309717,39024672,30636388,2376,1,0,0,35197,262578,21340650,0,8222042,9461980,92061,191065,26591,0,30636389,0
12/21/15,12/1/15,93,36,20,324400,40636647,32611539,2484,0,0,0,35197,233877,13278401,5771628,5872471,15714147,113381,185771,25248,0,32611539,0
12/28/15,12/1/15,92,55,15,274724,39891913,21045398,903,0,0,0,35197,226238,11896590,14908703,0,13086620,36235,180857,57632,0,21045398,0
1/4/16,1/1/16,92,60,15,325029,43552326,13399469,755,0,0,0,35237,226205,22299033,1697908,19555385,0,57530,182053,85446,13399469,0,0
1/11/16,1/1/16,92,64,15,328690,36479469,16880251,792,0,0,0,35237,219642,17715708,0,18763761,0,72922,192899,62869,16880252,0,0
1/18/16,1/1/16,92,61,15,346632,40588625,16459591,918,0,0,0,35237,222857,17297894,10057200,13233531,0,91926,160659,94047,16459590,0,0
1/25/16,1/1/16,92,62,15,330770,39279057,28296838,897,0,0,0,35237,222294,21566792,6337619,11374646,0,110037,175289,45444,28296837,0,0
2/1/16,2/1/16,92,62,19,373377,33720913,23602033,1029,0,0,0,20310,234096,18079513,9308049,6333351,0,55197,243487,74693,23602033,0,0
2/8/16,2/1/16,92,67,19,387612,34653662,21197342,897,0,0,0,20310,232868,21850563,3744900,9058199,0,109683,205716,72213,21197341,0,0
2/15/16,2/1/16,92,61,19,354435,35450873,21851746,1029,0,0,0,20310,236145,17952766,6119266,11378841,0,79145,194056,81234,19961602,0,1890144
2/22/16,2/1/16,92,63,19,444313,37457659,33610256,966,0,0,0,20310,237482,15733123,0,21724536,0,142935,193211,108167,27136804,0,6473453
2/29/16,2/1/16,91,54,14,458524,40537601,38843462,903,0,0,0,20310,245361,20774463,0,19763138,0,27246,309949,121329,35003091,0,3840370
3/7/16,3/1/16,91,72,14,302003,41697968,34898632,903,0,0,0,20429,243425,20001797,3768505,17927666,0,45508,196975,59520,34898632,0,0
3/14/16,3/1/16,91,69,14,320719,38977779,22495489,1103,0,0,0,20429,241498,16341051,1121798,21514930,0,49955,184794,85970,22495489,0,0
3/21/16,3/1/16,91,84,14,385968,42150524,24058217,1395,0,0,0,20429,239483,16904489,10727313,14518722,0,119719,153294,112955,24058218,0,0
3/28/16,3/1/16,89,69,0,430433,35146399,15271064,1688,0,0,0,20429,243435,12060333,11631480,11454586,0,148601,247351,34481,15271064,0,0
4/4/16,4/1/16,89,70,0,335024,40891992,25444594,1285,0,0,0,20349,235550,23070584,4769593,13051815,0,159822,175202,0,20386195,0,5058398
4/11/16,4/1/16,89,61,0,318953,34214158,32745969,1178,0,0,0,20349,226663,18257343,6604730,9352085,0,157623,161330,0,25336560,0,7409408
4/18/16,4/1/16,89,76,0,412282,38654079,24202835,1263,0,0,0,20349,231593,22111818,16496427,45834,0,206789,205493,0,21777086,0,2425748
4/25/16,4/1/16,95,71,17,316284,40227433,28003822,1357,0,0,0,20349,229997,14189822,26037611,0,0,198230,118054,0,24650429,0,3353393
5/2/16,5/1/16,95,56,17,367539,35841900,33480934,1335,0,0,0,20112,231792,14987983,18057264,2796653,0,150892,216647,0,29916164,0,3564770
5/9/16,5/1/16,95,42,17,333781,43896817,35890334,1493,0,0,0,20112,241510,23983970,13954303,5958544,0,178181,155600,0,32242468,0,3647865
5/16/16,5/1/16,95,46,17,258675,39879034,58524199,1482,0,0,0,20112,237795,16258799,17433154,6187081,0,27640,167987,63048,35824137,0,22700062
5/23/16,5/1/16,95,46,17,258940,39062886,19175614,1394,0,0,0,20112,245337,21365947,14368269,3328670,0,133079,118029,7832,19175614,0,0
5/30/16,5/1/16,94,46,15,408620,40842074,13098911,1191,0,0,0,20112,233831,20539338,13443112,6859624,0,45385,223253,139982,13098912,0,0
6/6/16,6/1/16,94,38,15,342141,35105453,27891353,2352,0,0,0,20278,231447,20039601,0,11367382,3698470,150046,135154,56941,0,27891353,0
6/13/16,6/1/16,94,38,15,277301,36482988,27425711,1326,0,0,0,20278,227113,25421256,2159729,0,8902003,30620,178007,68674,0,27425711,0
6/20/16,6/1/16,94,38,15,351901,38799977,30123036,1403,0,0,0,20278,230074,14324806,14965329,0,9509842,82282,167286,102333,0,30123036,0
6/27/16,6/1/16,90,36,18,334349,40072496,32621900,1097,1,0,0,20278,260017,18054990,2600980,10094241,9322285,107713,153821,72815,0,32621900,0
7/4/16,7/1/16,90,33,18,312567,43323424,37508892,1173,1,0,1,20278,386822,19931849,0,5409589,17981986,60339,138887,113341,0,37508892,0
7/11/16,7/1/16,90,33,18,300634,38811294,39184602,1173,1,0,0,20278,262514,19398342,7394242,2814589,9204121,128312,172322,0,0,39184602,0
7/18/16,7/1/16,90,44,18,394915,44805270,35294179,2035,1,0,0,20278,272092,25551663,13269112,5984495,0,165163,229752,0,35234853,0,59326
7/25/16,7/1/16,90,64,20,335974,42189419,35647363,2024,1,0,0,20278,271261,23374992,9055019,9759408,0,145982,189992,0,35647363,0,0
8/1/16,8/1/16,90,63,20,362952,41038258,38707812,1630,1,0,0,20111,273290,27452140,7332233,6253885,0,267454,95498,0,38707812,0,0
8/8/16,8/1/16,90,69,20,441935,41011072,41150707,1293,1,0,0,20111,278687,15248117,25762955,0,0,126248,291419,24268,41150707,0,0
8/15/16,8/1/16,90,64,20,299307,40302452,38895030,1210,0,0,0,20111,248145,20115095,20187357,0,0,133044,130623,35640,38895030,0,0
8/22/16,8/1/16,90,63,20,314891,29394047,19441394,979,0,0,0,20111,241001,12990602,16403445,0,0,100016,155181,59694,19441394,0,0
8/29/16,8/1/16,91,66,0,340193,34889468,27162331,1103,0,0,0,20111,235764,18461601,16427867,0,0,192824,147369,0,27162331,0,0
9/5/16,9/1/16,91,76,0,269525,44994891,26886758,1170,0,0,0,20452,239160,22778260,22216631,0,0,71521,127611,70393,26886758,0,0
9/12/16,9/1/16,91,59,0,465412,33672534,26214879,1463,0,0,0,20452,234104,8541408,25131126,0,0,93746,234594,137072,26214879,0,0
9/19/16,9/1/16,91,54,0,348935,38920972,29697497,1688,0,0,0,20452,231884,14997082,23923890,0,0,99582,194651,54702,29697497,0,0
9/26/16,9/1/16,87,53,0,377993,43798070,34183021,1612,0,0,0,20452,231120,22679165,21118905,0,0,138158,214195,25640,34183021,0,0
10/3/16,10/1/16,87,56,0,359698,41795403,31870539,1372,0,0,0,20379,232262,21756717,20038686,0,0,154996,124747,79955,31870539,0,0
10/10/16,10/1/16,87,66,0,354955,35425438,23804481,1358,0,0,0,20379,228704,20605759,14819679,0,0,38649,210828,105478,23804481,0,0
10/17/16,10/1/16,87,61,0,297153,39165152,24184896,1359,0,0,0,20379,225756,24662029,14503123,0,0,94548,128648,73957,24184896,0,0
10/24/16,10/1/16,87,61,0,315389,40080898,23638055,1362,0,0,0,20379,225467,15445625,24635273,0,0,107566,124427,83396,23638055,0,0
10/31/16,10/1/16,94,43,20,335805,35398130,21161348,2226,0,0,0,20379,229164,17815766,17582364,0,0,83177,193823,58805,21161348,0,0
11/7/16,11/1/16,94,29,20,335056,43416115,89430768,2196,1,0,0,30209,251620,24072380,12160148,0,7183587,87632,199810,47614,0,89430768,0
11/14/16,11/1/16,94,29,20,377410,39296458,122234544,2664,1,0,0,30209,285803,18004946,10209837,0,11081675,141362,171032,65016,0,122234544,0
11/21/16,11/1/16,94,29,20,424453,43424026,52210320,6096,1,0,0,30209,322095,23517593,8298272,0,11608161,100882,228285,95286,0,52210320,0
11/28/16,11/1/16,98,30,17,362955,40483958,32212828,3240,1,1,0,30209,510070,21514688,7387558,0,11581712,109845,177466,75644,0,32212828,0
12/5/16,12/1/16,98,30,17,343513,43924614,41168732,2988,1,0,0,40216,267773,21112188,12075711,0,10736715,108244,177656,57613,0,41168732,0
12/12/16,12/1/16,98,30,17,354580,42902022,54170820,2736,0,0,0,40216,236810,16042707,11942552,0,14916763,57330,181939,115311,0,54170820,0
12/19/16,12/1/16,98,40,17,402840,41140024,55518672,2844,0,0,0,40216,244350,17371186,14022321,0,9746517,70104,166658,166078,0,55518672,0
12/26/16,12/1/16,99,50,16,324879,38716581,41911348,1113,0,0,0,40216,236749,18270584,12107278,0,8338719,122670,180419,21790,0,41911348,0
1/2/17,1/1/17,99,64,16,398881,31447922,10912086,1199,0,0,0,40376,233825,15678323,15769599,0,0,165398,233483,0,10912086,0,0
1/9/17,1/1/17,99,77,16,332411,37061034,10231860,1224,0,0,0,40376,222014,19430991,17630043,0,0,106713,172459,53239,10231860,0,0
1/16/17,1/1/17,99,78,16,404948,36112826,9519178,1338,0,0,0,40376,224656,17984542,18128284,0,0,226040,172969,5939,9519178,0,0
1/23/17,1/1/17,99,79,16,313422,45036943,13401302,1330,0,0,0,40376,224956,19238303,25798640,0,0,110090,161967,41365,9695603,3705699,0
1/30/17,1/1/17,96,71,16,451893,40835980,16318632,1465,0,0,0,40376,229248,17643233,23192747,0,0,114573,285288,52032,8906979,7411653,0
2/6/17,2/1/17,96,72,16,301461,41971240,14106654,1300,0,0,0,40322,226290,26039140,7130748,8801352,0,131750,169711,0,8259165,5847489,0
2/13/17,2/1/17,96,49,16,466403,39126842,14014633,1456,0,0,0,40322,229012,19664808,12323449,7138585,0,161787,262713,41903,8186571,5828062,0
2/20/17,2/1/17,96,57,16,366586,37513323,15134096,1384,0,0,0,40322,221711,15221909,12761282,9530132,0,117145,113667,135774,8525553,0,6608543
2/27/17,2/1/17,97,47,14,352179,44999642,13334472,1314,0,0,0,40322,223614,15711595,14834683,14453364,0,105838,193735,52606,7262457,0,6072015
3/6/17,3/1/17,97,70,14,370982,35833418,11954530,1258,0,0,0,40238,218939,16074950,19758468,0,0,108038,144141,118803,6196936,0,5757594
3/13/17,3/1/17,97,56,14,370632,39821507,11765278,1714,0,0,0,40238,225026,16329197,23492310,0,0,151512,212110,7010,6492727,0,5272551
3/20/17,3/1/17,97,63,14,393820,35917978,8230923,2004,0,0,0,40238,223225,17905101,18012877,0,0,192119,201701,0,6648000,0,1582923
3/27/17,3/1/17,97,59,0,307774,39962132,19128060,2082,0,0,0,40238,220723,23377395,16584737,0,0,83387,205148,19239,15355917,0,3772143
4/3/17,4/1/17,97,60,0,288716,33340712,23851755,1638,0,0,0,35488,222777,11787442,14540837,7012433,0,49562,165505,73649,17340552,0,6511203
4/10/17,4/1/17,97,60,0,284496,36828694,24738892,1675,0,0,0,35488,218307,18735230,4550475,13542989,0,52611,131641,100244,16111612,0,8627280
4/17/17,4/1/17,97,46,0,426874,36174045,27647322,1845,0,0,0,35488,222887,23575378,7764881,4833786,0,168483,233386,25005,16423559,0,11223763
4/24/17,4/1/17,97,46,0,371756,40762077,29202961,1930,0,0,0,35488,224628,18508208,17421137,4832732,0,188074,183682,0,16576185,0,12626776
5/1/17,5/1/17,97,46,0,403937,40690118,27915843,1899,0,0,0,40678,223050,19073806,21616312,0,0,244763,159174,0,18216251,0,9699592
5/8/17,5/1/17,97,36,0,291225,38158495,30767131,1882,0,0,0,40678,218418,18928806,12459704,6769985,0,62416,169627,59182,15061195,0,15705936
5/15/17,5/1/17,97,36,0,357468,35443312,34250167,1852,0,0,0,40678,216370,11171885,16531363,7740064,0,78291,192225,86952,16293688,0,17956479
5/22/17,5/1/17,97,36,0,280464,43352057,55627875,2335,0,0,0,40678,220150,15564928,27787129,0,0,121863,125648,32953,37833438,0,17794437
5/29/17,5/1/17,95,36,0,397739,28944687,19743085,1352,0,0,0,40678,222528,9622213,19322474,0,0,69638,227154,100947,0,0,19743085
6/5/17,6/1/17,95,36,0,331115,42002600,22644614,2832,0,0,0,25455,225260,21348742,7121007,13532851,0,64582,199782,66751,22644614,0,0
6/12/17,6/1/17,95,36,0,302471,41808675,42158932,1581,0,0,0,25455,218561,28258525,0,7767853,5782297,48315,151580,102576,0,42158932,0
6/19/17,6/1/17,95,38,0,369025,33392162,15124072,1658,0,0,0,25455,225621,22285051,0,8150644,2956467,59311,196611,113103,0,15124072,0
6/26/17,6/1/17,93,36,18,326108,41947489,27288126,1352,0,0,0,25455,215622,27018266,1355942,7482435,6090846,65078,208231,52799,0,27288126,0
7/3/17,7/1/17,93,43,18,467834,34976690,12200450,1428,1,0,1,25136,374403,17187620,9324691,0,8464379,145314,283710,38810,0,12200450,0
7/10/17,7/1/17,93,57,18,344050,43839445,12800450,1428,1,0,0,25136,255052,16708300,14970843,0,12160302,197927,146123,0,0,12800450,0
