Date,DMA,TV GRP,Magazine GRP
1/6/2014,Evansville,82,15
1/6/2014,Fairbanks,82,15
1/6/2014,Fargo-Valley City,82,15
1/6/2014,Flint-Saginaw-Bay City,82,15
1/6/2014,Fresno-Visalia,82,15
1/6/2014,Ft. Myers-Naples,82,15
1/6/2014,Ft. Smith-Fay-Sprngdl-Rgrs,82,15
1/6/2014,Ft. Wayne,82,15
1/6/2014,Gainesville,82,15
1/6/2014,Glendive,82,15
1/6/2014,Grand Junction-Montrose,82,15
1/6/2014,Grand Rapids-Kalmzoo-B.Crk,82,15
1/6/2014,Great Falls,82,15
1/6/2014,Green Bay-Appleton,82,15
1/6/2014,Greensboro-H.Point-W.Salem,82,15
1/6/2014,Greenville-N.Bern-Washngtn,82,15
1/6/2014,Greenvll-Spart-Ashevll-And,82,15
1/6/2014,Greenwood-Greenville,82,15
1/6/2014,Harlingen-Wslco-Brnsvl-McA,82,15
1/6/2014,Harrisburg-Lncstr-Leb-York,82,15
1/6/2014,Harrisonburg,82,15
1/6/2014,Hartford & New Haven,82,15
1/6/2014,Hattiesburg-Laurel,82,15
1/6/2014,Helena,82,15
1/6/2014,Honolulu,82,15
1/6/2014,Houston,82,15
1/6/2014,Huntsville-Decatur (Flor),82,15
1/6/2014,Idaho Fals-Pocatllo(Jcksn),82,15
1/6/2014,Indianapolis,82,15
1/6/2014,"Jackson, MS",82,15
1/6/2014,"Jackson, TN",82,15
1/6/2014,Jacksonville,82,15
1/6/2014,Johnstown-Altoona-St Colge,82,15
1/6/2014,Jonesboro,82,15
1/6/2014,Joplin-Pittsburg,82,15
1/6/2014,Juneau,82,15
1/6/2014,Kansas City,82,15
1/6/2014,Knoxville,82,15
1/6/2014,La Crosse-Eau Claire,82,15
1/6/2014,"Lafayette, IN",82,15
1/6/2014,"Lafayette, LA",82,15
1/6/2014,Lake Charles,82,15
1/6/2014,Lansing,82,15
1/6/2014,Laredo,82,15
1/6/2014,Las Vegas,82,15
1/6/2014,Lexington,82,15
1/6/2014,Lima,82,15
1/6/2014,Lincoln & Hastings-Krny,82,15
1/6/2014,Little Rock-Pine Bluff,82,15
1/6/2014,Los Angeles,82,15
1/6/2014,Louisville,82,15
1/6/2014,Lubbock,82,15
1/6/2014,Macon,82,15
1/6/2014,Madison,82,15
1/6/2014,Mankato,82,15
1/6/2014,Marquette,82,15
1/6/2014,Medford-Klamath Falls,82,15
1/6/2014,Memphis,82,15
1/6/2014,Meridian,82,15
1/6/2014,Miami-Ft. Lauderdale,82,15
1/6/2014,Milwaukee,82,15
1/6/2014,Minneapolis-St. Paul,82,15
1/6/2014,Minot-Bsmrck-Dcknsn(Wlstn),82,15
1/6/2014,Missoula,82,15
1/6/2014,Mobile-Pensacola (Ft Walt),82,15
1/6/2014,Monroe-El Dorado,82,15
1/6/2014,Monterey-Salinas,82,15
1/6/2014,Montgomery-Selma,82,15
1/6/2014,Myrtle Beach-Florence,82,15
1/6/2014,Nashville,82,15
1/6/2014,New Orleans,82,15
1/6/2014,New York,82,15
1/6/2014,Norfolk-Portsmth-Newpt Nws,82,15
1/6/2014,North Platte,82,15
1/6/2014,Odessa-Midland,82,15
1/6/2014,Oklahoma City,82,15
1/6/2014,Omaha,82,15
1/6/2014,Orlando-Daytona Bch-Melbrn,82,15
1/6/2014,Ottumwa-Kirksville,82,15
1/6/2014,Paducah-Cape Girard-Harsbg,82,15
1/6/2014,Palm Springs,82,15
1/6/2014,Panama City,82,15
1/6/2014,Parkersburg,82,15
1/6/2014,Peoria-Bloomington,82,15
1/6/2014,Philadelphia,82,15
1/6/2014,Phoenix (Prescott),82,15
1/6/2014,Pittsburgh,82,15
1/6/2014,"Portland, OR",82,15
1/6/2014,Portland-Auburn,82,15
1/6/2014,Presque Isle,82,15
1/6/2014,Providence-New Bedford,82,15
1/6/2014,Quincy-Hannibal-Keokuk,82,15
1/6/2014,Raleigh-Durham (Fayetvlle),82,15
1/6/2014,Rapid City,82,15
1/6/2014,Reno,82,15
1/6/2014,Richmond-Petersburg,82,15
1/6/2014,Roanoke-Lynchburg,82,15
1/6/2014,"Rochester, NY",82,15
1/6/2014,Rochestr-Mason City-Austin,82,15
1/6/2014,Rockford,82,15
1/6/2014,Sacramnto-Stkton-Modesto,82,15
1/6/2014,Salisbury,82,15
1/6/2014,Salt Lake City,82,15
1/6/2014,San Angelo,82,15
1/6/2014,San Antonio,82,15
1/6/2014,San Diego,82,15
1/6/2014,San Francisco-Oak-San Jose,82,15
1/6/2014,SantaBarbra-SanMar-SanLuOb,82,15
1/6/2014,Savannah,82,15
1/6/2014,Seattle-Tacoma,82,15
1/6/2014,Sherman-Ada,82,15
1/6/2014,Shreveport,82,15
1/6/2014,Sioux City,82,15
1/6/2014,Sioux Falls(Mitchell),82,15
1/6/2014,South Bend-Elkhart,82,15
1/6/2014,Spokane,82,15
1/6/2014,"Springfield, MO",82,15
1/6/2014,Springfield-Holyoke,82,15
1/6/2014,St. Joseph,82,15
1/6/2014,St. Louis,82,15
1/6/2014,Syracuse,82,15
1/6/2014,Tallahassee-Thomasville,82,15
1/6/2014,Tampa-St. Pete (Sarasota),82,15
1/6/2014,Terre Haute,82,15
1/6/2014,Toledo,82,15
1/6/2014,Topeka,82,15
1/6/2014,Traverse City-Cadillac,82,15
1/6/2014,"Tri-Cities, TN-VA",82,15
1/6/2014,Tucson (Sierra Vista),82,15
1/6/2014,Tulsa,82,15
1/6/2014,Twin Falls,82,15
1/6/2014,Tyler-Longview(Lfkn&Ncgd),82,15
1/6/2014,Utica,82,15
1/6/2014,Victoria,82,15
1/6/2014,Waco-Temple-Bryan,82,15
1/6/2014,"Washington, DC (Hagrstwn)",82,15
1/6/2014,Watertown,82,15
1/6/2014,Wausau-Rhinelander,82,15
1/6/2014,West Palm Beach-Ft. Pierce,82,15
1/6/2014,Wheeling-Steubenville,82,15
1/6/2014,Wichita Falls & Lawton,82,15
1/6/2014,Wichita-Hutchinson Plus,82,15
1/6/2014,Wilkes Barre-Scranton-Hztn,82,15
1/6/2014,Wilmington,82,15
1/6/2014,Yakima-Pasco-Rchlnd-Knnwck,82,15
1/6/2014,Youngstown,82,15
1/6/2014,Yuma-El Centro,82,15
1/6/2014,Zanesville,82,15
1/13/2014,Abilene-Sweetwater,72,15
1/13/2014,"Albany, GA",72,15
1/13/2014,Albany-Schenectady-Troy,72,15
1/13/2014,Albuquerque-Santa Fe,72,15
1/13/2014,"Alexandria, LA",72,15
1/13/2014,Alpena,72,15
1/13/2014,Amarillo,72,15
1/13/2014,Anchorage,72,15
1/13/2014,Atlanta,72,15
1/13/2014,Augusta-Aiken,72,15
1/13/2014,Austin,72,15
1/13/2014,Bakersfield,72,15
1/13/2014,Baltimore,72,15
1/13/2014,Bangor,72,15
1/13/2014,Baton Rouge,72,15
1/13/2014,Beaumont-Port Arthur,72,15
1/13/2014,"Bend, OR",72,15
1/13/2014,Billings,72,15
1/13/2014,Biloxi-Gulfport,72,15
1/13/2014,Binghamton,72,15
1/13/2014,Birmingham (Ann and Tusc),72,15
1/13/2014,Bluefield-Beckley-Oak Hill,72,15
1/13/2014,Boise,72,15
1/13/2014,Boston (Manchester),72,15
1/13/2014,Bowling Green,72,15
1/13/2014,Buffalo,72,15
1/13/2014,Burlington-Plattsburgh,72,15
1/13/2014,Butte-Bozeman,72,15
1/13/2014,Casper-Riverton,72,15
1/13/2014,Cedar Rapids-Wtrlo-IWC&Dub,72,15
1/13/2014,Champaign&Sprngfld-Decatur,72,15
1/13/2014,"Charleston, SC",72,15
1/13/2014,Charleston-Huntington,72,15
1/13/2014,Charlotte,72,15
1/13/2014,Charlottesville,72,15
1/13/2014,Chattanooga,72,15
1/13/2014,Cheyenne-Scottsbluff,72,15
1/13/2014,Chicago,72,15
1/13/2014,Chico-Redding,72,15
1/13/2014,Cincinnati,72,15
1/13/2014,Clarksburg-Weston,72,15
1/13/2014,Cleveland-Akron (Canton),72,15
1/13/2014,Colorado Springs-Pueblo,72,15
1/13/2014,"Columbia, SC",72,15
1/13/2014,Columbia-Jefferson City,72,15
1/13/2014,"Columbus, GA (Opelika, AL)",72,15
1/13/2014,"Columbus, OH",72,15
1/13/2014,Columbus-Tupelo-W Pnt-Hstn,72,15
1/13/2014,Corpus Christi,72,15
1/13/2014,Dallas-Ft. Worth,72,15
1/13/2014,Davenport-R.Island-Moline,72,15
1/13/2014,Dayton,72,15
1/13/2014,Denver,72,15
1/13/2014,Des Moines-Ames,72,15
1/13/2014,Detroit,72,15
1/13/2014,Dothan,72,15
1/13/2014,Duluth-Superior,72,15
1/13/2014,El Paso (Las Cruces),72,15
1/13/2014,Elmira (Corning),72,15
1/13/2014,Erie,72,15
1/13/2014,Eugene,72,15
1/13/2014,Eureka,72,15
1/13/2014,Evansville,72,15
1/13/2014,Fairbanks,72,15
1/13/2014,Fargo-Valley City,72,15
1/13/2014,Flint-Saginaw-Bay City,72,15
1/13/2014,Fresno-Visalia,72,15
1/13/2014,Ft. Myers-Naples,72,15
1/13/2014,Ft. Smith-Fay-Sprngdl-Rgrs,72,15
1/13/2014,Ft. Wayne,72,15
1/13/2014,Gainesville,72,15
1/13/2014,Glendive,72,15
1/13/2014,Grand Junction-Montrose,72,15
1/13/2014,Grand Rapids-Kalmzoo-B.Crk,72,15
1/13/2014,Great Falls,72,15
1/13/2014,Green Bay-Appleton,72,15
1/13/2014,Greensboro-H.Point-W.Salem,72,15
1/13/2014,Greenville-N.Bern-Washngtn,72,15
1/13/2014,Greenvll-Spart-Ashevll-And,72,15
1/13/2014,Greenwood-Greenville,72,15
1/13/2014,Harlingen-Wslco-Brnsvl-McA,72,15
1/13/2014,Harrisburg-Lncstr-Leb-York,72,15
1/13/2014,Harrisonburg,72,15
1/13/2014,Hartford & New Haven,72,15
1/13/2014,Hattiesburg-Laurel,72,15
1/13/2014,Helena,72,15
1/13/2014,Honolulu,72,15
1/13/2014,Houston,72,15
1/13/2014,Huntsville-Decatur (Flor),72,15
1/13/2014,Idaho Fals-Pocatllo(Jcksn),72,15
1/13/2014,Indianapolis,72,15
1/13/2014,"Jackson, MS",72,15
1/13/2014,"Jackson, TN",72,15
1/13/2014,Jacksonville,72,15
1/13/2014,Johnstown-Altoona-St Colge,72,15
1/13/2014,Jonesboro,72,15
1/13/2014,Joplin-Pittsburg,72,15
1/13/2014,Juneau,72,15
1/13/2014,Kansas City,72,15
1/13/2014,Knoxville,72,15
1/13/2014,La Crosse-Eau Claire,72,15
1/13/2014,"Lafayette, IN",72,15
1/13/2014,"Lafayette, LA",72,15
1/13/2014,Lake Charles,72,15
1/13/2014,Lansing,72,15
1/13/2014,Laredo,72,15
1/13/2014,Las Vegas,72,15
1/13/2014,Lexington,72,15
1/13/2014,Lima,72,15
1/13/2014,Lincoln & Hastings-Krny,72,15
1/13/2014,Little Rock-Pine Bluff,72,15
1/13/2014,Los Angeles,72,15
1/13/2014,Louisville,72,15
1/13/2014,Lubbock,72,15
1/13/2014,Macon,72,15
1/13/2014,Madison,72,15
1/13/2014,Mankato,72,15
1/13/2014,Marquette,72,15
1/13/2014,Medford-Klamath Falls,72,15
1/13/2014,Memphis,72,15
1/13/2014,Meridian,72,15
1/13/2014,Miami-Ft. Lauderdale,72,15
1/13/2014,Milwaukee,72,15
1/13/2014,Minneapolis-St. Paul,72,15
1/13/2014,Minot-Bsmrck-Dcknsn(Wlstn),72,15
1/13/2014,Missoula,72,15
1/13/2014,Mobile-Pensacola (Ft Walt),72,15
1/13/2014,Monroe-El Dorado,72,15
1/13/2014,Monterey-Salinas,72,15
1/13/2014,Montgomery-Selma,72,15
1/13/2014,Myrtle Beach-Florence,72,15
1/13/2014,Nashville,72,15
1/13/2014,New Orleans,72,15
1/13/2014,New York,72,15
1/13/2014,Norfolk-Portsmth-Newpt Nws,72,15
1/13/2014,North Platte,72,15
1/13/2014,Odessa-Midland,72,15
1/13/2014,Oklahoma City,72,15
1/13/2014,Omaha,72,15
1/13/2014,Orlando-Daytona Bch-Melbrn,72,15
1/13/2014,Ottumwa-Kirksville,72,15
1/13/2014,Paducah-Cape Girard-Harsbg,72,15
1/13/2014,Palm Springs,72,15
1/13/2014,Panama City,72,15
1/13/2014,Parkersburg,72,15
1/13/2014,Peoria-Bloomington,72,15
1/13/2014,Philadelphia,72,15
1/13/2014,Phoenix (Prescott),72,15
1/13/2014,Pittsburgh,72,15
1/13/2014,"Portland, OR",72,15
1/13/2014,Portland-Auburn,72,15
1/13/2014,Presque Isle,72,15
1/13/2014,Providence-New Bedford,72,15
1/13/2014,Quincy-Hannibal-Keokuk,72,15
1/13/2014,Raleigh-Durham (Fayetvlle),72,15
1/13/2014,Rapid City,72,15
1/13/2014,Reno,72,15
1/13/2014,Richmond-Petersburg,72,15
1/13/2014,Roanoke-Lynchburg,72,15
1/13/2014,"Rochester, NY",72,15
1/13/2014,Rochestr-Mason City-Austin,72,15
1/13/2014,Rockford,72,15
1/13/2014,Sacramnto-Stkton-Modesto,72,15
1/13/2014,Salisbury,72,15
1/13/2014,Salt Lake City,72,15
1/13/2014,San Angelo,72,15
1/13/2014,San Antonio,72,15
1/13/2014,San Diego,72,15
1/13/2014,San Francisco-Oak-San Jose,72,15
1/13/2014,SantaBarbra-SanMar-SanLuOb,72,15
1/13/2014,Savannah,72,15
1/13/2014,Seattle-Tacoma,72,15
1/13/2014,Sherman-Ada,72,15
1/13/2014,Shreveport,72,15
1/13/2014,Sioux City,72,15
1/13/2014,Sioux Falls(Mitchell),72,15
1/13/2014,South Bend-Elkhart,72,15
1/13/2014,Spokane,72,15
1/13/2014,"Springfield, MO",72,15
1/13/2014,Springfield-Holyoke,72,15
1/13/2014,St. Joseph,72,15
1/13/2014,St. Louis,72,15
1/13/2014,Syracuse,72,15
1/13/2014,Tallahassee-Thomasville,72,15
1/13/2014,Tampa-St. Pete (Sarasota),72,15
1/13/2014,Terre Haute,72,15
1/13/2014,Toledo,72,15
1/13/2014,Topeka,72,15
1/13/2014,Traverse City-Cadillac,72,15
1/13/2014,"Tri-Cities, TN-VA",72,15
1/13/2014,Tucson (Sierra Vista),72,15
1/13/2014,Tulsa,72,15
1/13/2014,Twin Falls,72,15
1/13/2014,Tyler-Longview(Lfkn&Ncgd),72,15
1/13/2014,Utica,72,15
1/13/2014,Victoria,72,15
1/13/2014,Waco-Temple-Bryan,72,15
1/13/2014,"Washington, DC (Hagrstwn)",72,15
1/13/2014,Watertown,72,15
1/13/2014,Wausau-Rhinelander,72,15
1/13/2014,West Palm Beach-Ft. Pierce,72,15
1/13/2014,Wheeling-Steubenville,72,15
1/13/2014,Wichita Falls & Lawton,72,15
1/13/2014,Wichita-Hutchinson Plus,72,15
1/13/2014,Wilkes Barre-Scranton-Hztn,72,15
1/13/2014,Wilmington,72,15
1/13/2014,Yakima-Pasco-Rchlnd-Knnwck,72,15
1/13/2014,Youngstown,72,15
1/13/2014,Yuma-El Centro,72,15
1/13/2014,Zanesville,72,15
1/20/2014,Abilene-Sweetwater,82,15
1/20/2014,"Albany, GA",82,15
1/20/2014,Albany-Schenectady-Troy,82,15
1/20/2014,Albuquerque-Santa Fe,82,15
1/20/2014,"Alexandria, LA",82,15
1/20/2014,Alpena,82,15
1/20/2014,Amarillo,82,15
1/20/2014,Anchorage,82,15
1/20/2014,Atlanta,82,15
1/20/2014,Augusta-Aiken,82,15
1/20/2014,Austin,82,15
1/20/2014,Bakersfield,82,15
1/20/2014,Baltimore,82,15
1/20/2014,Bangor,82,15
1/20/2014,Baton Rouge,82,15
1/20/2014,Beaumont-Port Arthur,82,15
1/20/2014,"Bend, OR",82,15
1/20/2014,Billings,82,15
1/20/2014,Biloxi-Gulfport,82,15
1/20/2014,Binghamton,82,15
1/20/2014,Birmingham (Ann and Tusc),82,15
1/20/2014,Bluefield-Beckley-Oak Hill,82,15
1/20/2014,Boise,82,15
1/20/2014,Boston (Manchester),82,15
1/20/2014,Bowling Green,82,15
1/20/2014,Buffalo,82,15
1/20/2014,Burlington-Plattsburgh,82,15
1/20/2014,Butte-Bozeman,82,15
1/20/2014,Casper-Riverton,82,15
1/20/2014,Cedar Rapids-Wtrlo-IWC&Dub,82,15
1/20/2014,Champaign&Sprngfld-Decatur,82,15
1/20/2014,"Charleston, SC",82,15
1/20/2014,Charleston-Huntington,82,15
1/20/2014,Charlotte,82,15
1/20/2014,Charlottesville,82,15
1/20/2014,Chattanooga,82,15
1/20/2014,Cheyenne-Scottsbluff,82,15
1/20/2014,Chicago,82,15
1/20/2014,Chico-Redding,82,15
1/20/2014,Cincinnati,82,15
1/20/2014,Clarksburg-Weston,82,15
1/20/2014,Cleveland-Akron (Canton),82,15
1/20/2014,Colorado Springs-Pueblo,82,15
1/20/2014,"Columbia, SC",82,15
1/20/2014,Columbia-Jefferson City,82,15
1/20/2014,"Columbus, GA (Opelika, AL)",82,15
1/20/2014,"Columbus, OH",82,15
1/20/2014,Columbus-Tupelo-W Pnt-Hstn,82,15
1/20/2014,Corpus Christi,82,15
1/20/2014,Dallas-Ft. Worth,82,15
1/20/2014,Davenport-R.Island-Moline,82,15
1/20/2014,Dayton,82,15
1/20/2014,Denver,82,15
1/20/2014,Des Moines-Ames,82,15
1/20/2014,Detroit,82,15
1/20/2014,Dothan,82,15
1/20/2014,Duluth-Superior,82,15
1/20/2014,El Paso (Las Cruces),82,15
1/20/2014,Elmira (Corning),82,15
1/20/2014,Erie,82,15
1/20/2014,Eugene,82,15
1/20/2014,Eureka,82,15
1/20/2014,Evansville,82,15
1/20/2014,Fairbanks,82,15
1/20/2014,Fargo-Valley City,82,15
1/20/2014,Flint-Saginaw-Bay City,82,15
1/20/2014,Fresno-Visalia,82,15
1/20/2014,Ft. Myers-Naples,82,15
1/20/2014,Ft. Smith-Fay-Sprngdl-Rgrs,82,15
1/20/2014,Ft. Wayne,82,15
1/20/2014,Gainesville,82,15
1/20/2014,Glendive,82,15
1/20/2014,Grand Junction-Montrose,82,15
1/20/2014,Grand Rapids-Kalmzoo-B.Crk,82,15
1/20/2014,Great Falls,82,15
1/20/2014,Green Bay-Appleton,82,15
1/20/2014,Greensboro-H.Point-W.Salem,82,15
1/20/2014,Greenville-N.Bern-Washngtn,82,15
1/20/2014,Greenvll-Spart-Ashevll-And,82,15
1/20/2014,Greenwood-Greenville,82,15
1/20/2014,Harlingen-Wslco-Brnsvl-McA,82,15
1/20/2014,Harrisburg-Lncstr-Leb-York,82,15
1/20/2014,Harrisonburg,82,15
1/20/2014,Hartford & New Haven,82,15
1/20/2014,Hattiesburg-Laurel,82,15
1/20/2014,Helena,82,15
1/20/2014,Honolulu,82,15
1/20/2014,Houston,82,15
1/20/2014,Huntsville-Decatur (Flor),82,15
1/20/2014,Idaho Fals-Pocatllo(Jcksn),82,15
1/20/2014,Indianapolis,82,15
1/20/2014,"Jackson, MS",82,15
1/20/2014,"Jackson, TN",82,15
1/20/2014,Jacksonville,82,15
1/20/2014,Johnstown-Altoona-St Colge,82,15
1/20/2014,Jonesboro,82,15
1/20/2014,Joplin-Pittsburg,82,15
1/20/2014,Juneau,82,15
1/20/2014,Kansas City,82,15
1/20/2014,Knoxville,82,15
1/20/2014,La Crosse-Eau Claire,82,15
1/20/2014,"Lafayette, IN",82,15
1/20/2014,"Lafayette, LA",82,15
1/20/2014,Lake Charles,82,15
1/20/2014,Lansing,82,15
1/20/2014,Laredo,82,15
1/20/2014,Las Vegas,82,15
1/20/2014,Lexington,82,15
1/20/2014,Lima,82,15
1/20/2014,Lincoln & Hastings-Krny,82,15
1/20/2014,Little Rock-Pine Bluff,82,15
1/20/2014,Los Angeles,82,15
1/20/2014,Louisville,82,15
1/20/2014,Lubbock,82,15
1/20/2014,Macon,82,15
1/20/2014,Madison,82,15
1/20/2014,Mankato,82,15
1/20/2014,Marquette,82,15
1/20/2014,Medford-Klamath Falls,82,15
1/20/2014,Memphis,82,15
1/20/2014,Meridian,82,15
1/20/2014,Miami-Ft. Lauderdale,82,15
1/20/2014,Milwaukee,82,15
1/20/2014,Minneapolis-St. Paul,82,15
1/20/2014,Minot-Bsmrck-Dcknsn(Wlstn),82,15
1/20/2014,Missoula,82,15
1/20/2014,Mobile-Pensacola (Ft Walt),82,15
1/20/2014,Monroe-El Dorado,82,15
1/20/2014,Monterey-Salinas,82,15
1/20/2014,Montgomery-Selma,82,15
1/20/2014,Myrtle Beach-Florence,82,15
1/20/2014,Nashville,82,15
1/20/2014,New Orleans,82,15
1/20/2014,New York,82,15
1/20/2014,Norfolk-Portsmth-Newpt Nws,82,15
1/20/2014,North Platte,82,15
1/20/2014,Odessa-Midland,82,15
1/20/2014,Oklahoma City,82,15
1/20/2014,Omaha,82,15
1/20/2014,Orlando-Daytona Bch-Melbrn,82,15
1/20/2014,Ottumwa-Kirksville,82,15
1/20/2014,Paducah-Cape Girard-Harsbg,82,15
1/20/2014,Palm Springs,82,15
1/20/2014,Panama City,82,15
1/20/2014,Parkersburg,82,15
1/20/2014,Peoria-Bloomington,82,15
1/20/2014,Philadelphia,82,15
1/20/2014,Phoenix (Prescott),82,15
1/20/2014,Pittsburgh,82,15
1/20/2014,"Portland, OR",82,15
1/20/2014,Portland-Auburn,82,15
1/20/2014,Presque Isle,82,15
1/20/2014,Providence-New Bedford,82,15
1/20/2014,Quincy-Hannibal-Keokuk,82,15
1/20/2014,Raleigh-Durham (Fayetvlle),82,15
1/20/2014,Rapid City,82,15
1/20/2014,Reno,82,15
1/20/2014,Richmond-Petersburg,82,15
1/20/2014,Roanoke-Lynchburg,82,15
1/20/2014,"Rochester, NY",82,15
1/20/2014,Rochestr-Mason City-Austin,82,15
1/20/2014,Rockford,82,15
1/20/2014,Sacramnto-Stkton-Modesto,82,15
1/20/2014,Salisbury,82,15
1/20/2014,Salt Lake City,82,15
1/20/2014,San Angelo,82,15
1/20/2014,San Antonio,82,15
1/20/2014,San Diego,82,15
1/20/2014,San Francisco-Oak-San Jose,82,15
1/20/2014,SantaBarbra-SanMar-SanLuOb,82,15
1/20/2014,Savannah,82,15
1/20/2014,Seattle-Tacoma,82,15
1/20/2014,Sherman-Ada,82,15
1/20/2014,Shreveport,82,15
1/20/2014,Sioux City,82,15
1/20/2014,Sioux Falls(Mitchell),82,15
1/20/2014,South Bend-Elkhart,82,15
1/20/2014,Spokane,82,15
1/20/2014,"Springfield, MO",82,15
1/20/2014,Springfield-Holyoke,82,15
1/20/2014,St. Joseph,82,15
1/20/2014,St. Louis,82,15
1/20/2014,Syracuse,82,15
1/20/2014,Tallahassee-Thomasville,82,15
1/20/2014,Tampa-St. Pete (Sarasota),82,15
1/20/2014,Terre Haute,82,15
1/20/2014,Toledo,82,15
1/20/2014,Topeka,82,15
1/20/2014,Traverse City-Cadillac,82,15
1/20/2014,"Tri-Cities, TN-VA",82,15
1/20/2014,Tucson (Sierra Vista),82,15
1/20/2014,Tulsa,82,15
1/20/2014,Twin Falls,82,15
1/20/2014,Tyler-Longview(Lfkn&Ncgd),82,15
1/20/2014,Utica,82,15
1/20/2014,Victoria,82,15
1/20/2014,Waco-Temple-Bryan,82,15
1/20/2014,"Washington, DC (Hagrstwn)",82,15
1/20/2014,Watertown,82,15
1/20/2014,Wausau-Rhinelander,82,15
1/20/2014,West Palm Beach-Ft. Pierce,82,15
1/20/2014,Wheeling-Steubenville,82,15
1/20/2014,Wichita Falls & Lawton,82,15
1/20/2014,Wichita-Hutchinson Plus,82,15
1/20/2014,Wilkes Barre-Scranton-Hztn,82,15
1/20/2014,Wilmington,82,15
1/20/2014,Yakima-Pasco-Rchlnd-Knnwck,82,15
1/20/2014,Youngstown,82,15
1/20/2014,Yuma-El Centro,82,15
1/20/2014,Zanesville,82,15
1/27/2014,Abilene-Sweetwater,80,20
1/27/2014,"Albany, GA",80,20
1/27/2014,Albany-Schenectady-Troy,80,20
1/27/2014,Albuquerque-Santa Fe,80,20
1/27/2014,"Alexandria, LA",80,20
1/27/2014,Alpena,80,20
1/27/2014,Amarillo,80,20
1/27/2014,Anchorage,80,20
1/27/2014,Atlanta,80,20
1/27/2014,Augusta-Aiken,80,20
1/27/2014,Austin,80,20
1/27/2014,Bakersfield,80,20
1/27/2014,Baltimore,80,20
1/27/2014,Bangor,80,20
1/27/2014,Baton Rouge,80,20
1/27/2014,Beaumont-Port Arthur,80,20
1/27/2014,"Bend, OR",80,20
1/27/2014,Billings,80,20
1/27/2014,Biloxi-Gulfport,80,20
1/27/2014,Binghamton,80,20
1/27/2014,Birmingham (Ann and Tusc),80,20
1/27/2014,Bluefield-Beckley-Oak Hill,80,20
1/27/2014,Boise,80,20
1/27/2014,Boston (Manchester),80,20
1/27/2014,Bowling Green,80,20
1/27/2014,Buffalo,80,20
1/27/2014,Burlington-Plattsburgh,80,20
1/27/2014,Butte-Bozeman,80,20
1/27/2014,Casper-Riverton,80,20
1/27/2014,Cedar Rapids-Wtrlo-IWC&Dub,80,20
1/27/2014,Champaign&Sprngfld-Decatur,80,20
1/27/2014,"Charleston, SC",80,20
1/27/2014,Charleston-Huntington,80,20
1/27/2014,Charlotte,80,20
1/27/2014,Charlottesville,80,20
1/27/2014,Chattanooga,80,20
1/27/2014,Cheyenne-Scottsbluff,80,20
1/27/2014,Chicago,80,20
