Date,Campaign Name,Site Name,Placement,Ad Name,Ad Format,Ad Size,Served Impressions,Clicks,Video Started,Video Fully Played
1/13/2014,Mobile Always-On,Pandora Mobile US,P11297,SL 728x90,In-Stream Tracking,728x90,"1,131,316","26,925","938,992","535,225"
1/13/2014,Website Traffic,Pandora Mobile US,P11150,Wallet FEP,In-Stream Video,1920x1080,"903,193","15,263","785,777","510,755"
1/13/2014,Mobile Always-On,Hulu,P11191,Wallet 300x250,HTML5 Standard Banner,300x250,"1,558,905","78,412","1,262,713","732,373"
1/13/2014,Mobile Always-On,Pandora Mobile US,P11150,Wallet FEP,In-Stream Video,1920x1080,"2,104,995","42,099","1,662,946","848,102"
1/13/2014,Branding Campaign,VEVO US,P11137,SL 728x90,In-Stream Tracking,728x90,"1,093,005","41,534",0,0
1/13/2014,Branding Campaign,VEVO US,P11189,SL 728x90,In-Stream Tracking,728x90,"991,129","12,983",0,0
1/13/2014,Website Traffic,Yahoo En Espanol,P11284,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,336,944","51,071","1,229,988","934,790"
1/13/2014,Mobile Always-On,Yahoo En Espanol,P11194,Wallet FEP,In-Stream Video,1920x1080,"413,602","10,919","392,921","330,053"
1/13/2014,Mobile Always-On,Yahoo En Espanol,P11284,Bag 300x250,Standard Banner,300x250,"566,797","16,267",0,0
1/13/2014,Branding Campaign,YouTube US,P11336,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,598,275","72,721","1,550,326","1,286,770"
1/13/2014,Mobile Always-On,Pandora Mobile US,P11258,Wallet 300x250,HTML5 Standard Banner,300x250,"650,841","14,318",0,0
1/13/2014,Website Traffic,YouTube US,P11164,Bag 300x250,Standard Banner,300x250,"580,914","25,618","435,685","196,058"
1/20/2014,Branding Campaign,BuzzFeed,P11138,SL 728x90,In-Stream Tracking,728x90,"638,264","14,105",0,0
1/20/2014,Always-On,Fox Sports,P11126,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,669,169","66,099","1,485,560","623,935"
1/20/2014,Always-On,Fox Sports,P11199,Wallet 300x250,HTML5 Standard Banner,300x250,"1,602,935","28,371",0,0
1/20/2014,Always-On,Fox.com,P11240,Bag 300x250,Standard Banner,300x250,"71,113","1,884",0,0
1/20/2014,Always-On,Mobvious,P11132,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,732,277","7,448","1,264,562","1,049,586"
1/20/2014,Always-On,NBCUni.com,P11146,Wallet FEP,In-Stream Video,1920x1080,"1,640,464","63,978","1,443,608","1,154,886"
1/20/2014,Always-On,NBCUni.com,P11200,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,645,791","36,536","1,349,548","1,309,061"
1/20/2014,Mobile Always-On,YouTube US,P11164,SL 728x90,In-Stream Tracking,728x90,"1,172,128","8,322","1,090,079","882,963"
1/20/2014,Website Traffic,CBS Interactive US,P11119,New Product 300x600,Mobile Rich Media,300x600,"1,625,965","85,200",0,0
1/20/2014,Website Traffic,Fox Sports,P11145,New Product 300x600,Mobile Rich Media,300x600,"1,519,204","61,072",0,0
1/20/2014,Branding Campaign,CBS Interactive US,P11206,Tracking Pixel,Tracking Pixel,1x1,"1,195,458","51,643",0,0
1/20/2014,Branding Campaign,Fox.com,P11197,New Product 300x600,Mobile Rich Media,300x600,"450,240","23,232",0,0
1/20/2014,Always-On,VEVO US,P11161,SL 728x90,In-Stream Tracking,728x90,"287,618","5,062",0,0
1/20/2014,Website Traffic,NBCUni.com,P11200,Bag 300x250,Standard Banner,300x250,"1,393,154","11,423",0,0
1/20/2014,Website Traffic,Mobvious,P11132,Bag 300x250,Standard Banner,300x250,"1,298,530","50,772",0,0
1/20/2014,Website Traffic,Mobvious,P11128,Tracking Pixel,Tracking Pixel,1x1,"1,046,095","19,666",0,0
1/20/2014,Website Traffic,Mobvious,P11134,Wallet 300x250,HTML5 Standard Banner,300x250,"587,367","18,325",0,0
1/20/2014,Website Traffic,NBCUni.com,P11146,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"30,743",725,"22,442","20,197"
1/20/2014,Website Traffic,IHeartRadio.com,P11152,Wallet FEP,In-Stream Video,1920x1080,"253,340","1,368","220,405","141,059"
1/20/2014,Always-On,Yahoo En Espanol,P11194,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"849,390","25,651","815,414","366,936"
1/20/2014,Branding Campaign,Hulu,P11130,Bag 300x250,Standard Banner,300x250,"948,893","43,554","740,136","532,897"
1/20/2014,Branding Campaign,Hulu,P11181,Wallet FEP,In-Stream Video,1920x1080,"1,865,688","43,657","1,735,089","1,561,580"
1/20/2014,Website Traffic,NBCUni.com,P11153,SL 728x90,In-Stream Tracking,728x90,"2,093,483","51,499",0,0
1/20/2014,Mobile Always-On,Pandora Mobile US,P11359,New Product 300x600,Mobile Rich Media,300x600,"1,543,574","53,407",0,0
1/20/2014,Website Traffic,Mobvious,P11168,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"391,112","4,693","316,800","272,448"
1/20/2014,Website Traffic,Pandora.com,P11176,Wallet FEP,In-Stream Video,1920x1080,"951,865","36,932","932,827","410,443"
1/20/2014,Mobile Always-On,NBCUni.com,P11146,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,549,924","13,794","1,425,930","827,039"
1/20/2014,Website Traffic,VEVO US,P11123,SL 728x90,In-Stream Tracking,728x90,"2,067,930","16,129",0,0
1/20/2014,Website Traffic,Pandora.com,P11179,Bag 300x250,Standard Banner,300x250,"83,295","3,814",0,0
1/20/2014,Mobile Always-On,Pandora Mobile US,P11156,Wallet 300x250,HTML5 Standard Banner,300x250,"1,181,248","54,455",0,0
1/20/2014,Mobile Always-On,Pandora Mobile US,P11202,Wallet FEP,In-Stream Video,1920x1080,"2,037,769","55,631","1,487,571","595,028"
1/20/2014,Mobile Always-On,Pandora Mobile US,P11259,Wallet 300x250,HTML5 Standard Banner,300x250,"11,848",363,0,0
1/20/2014,Always-On,Yahoo En Espanol,P11284,Bag 300x250,Standard Banner,300x250,"738,926","10,640",0,0
1/20/2014,Website Traffic,Yahoo En Espanol,P11172,Bag 300x250,Standard Banner,300x250,"873,804","3,233",0,0
1/20/2014,Mobile Always-On,Yahoo En Espanol,P11194,Wallet 300x250,HTML5 Standard Banner,300x250,"1,140,762","55,441",0,0
1/20/2014,Mobile Always-On,Yahoo En Espanol,P11175,New Product 300x600,Mobile Rich Media,300x600,"958,781","21,093",0,0
1/20/2014,Mobile Always-On,Yahoo En Espanol,P11172,Wallet 300x250,HTML5 Standard Banner,300x250,"1,988,787","5,767",0,0
1/27/2014,Mobile Always-On,BuzzFeed,P11170,Wallet 300x250,HTML5 Standard Banner,300x250,"1,429,627","8,577",0,0
1/27/2014,Website Traffic,BuzzFeed,P11138,New Product 300x600,Mobile Rich Media,300x600,"685,882","17,215",0,0
1/27/2014,Website Traffic,BuzzFeed,P11170,SL 728x90,In-Stream Tracking,728x90,"1,959,309","29,977",0,0
1/27/2014,Always-On,BuzzFeed,P11170,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,008,703","12,608","766,614","367,974"
1/27/2014,Always-On,Fox.com,P11240,Wallet FEP,In-Stream Video,1920x1080,"1,110,243","8,770","1,054,730","632,838"
1/27/2014,Always-On,IHeartRadio.com,P11198,Tracking Pixel,Tracking Pixel,1x1,"542,943","11,836",0,0
1/27/2014,Always-On,Pandora.com,P11160,Tracking Pixel,Tracking Pixel,1x1,"927,792","9,463",0,0
1/27/2014,Always-On,VEVO US,P11178,Tracking Pixel,Tracking Pixel,1x1,"1,098,629","49,438",0,0
1/27/2014,Website Traffic,Fox.com,P11154,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,749,646","22,570","1,382,220","1,257,820"
1/27/2014,Website Traffic,CBS Interactive US,P11139,Bag 300x250,Standard Banner,300x250,"1,578,024","52,232",0,0
1/27/2014,Website Traffic,Fox Sports,P11145,Wallet 300x250,HTML5 Standard Banner,300x250,"558,208","27,017",0,0
1/27/2014,Mobile Always-On,Pandora Mobile US,P11346,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,679,012","78,241","1,645,431","1,036,621"
1/27/2014,Mobile Always-On,Fox Sports,P11165,New Product 300x600,Mobile Rich Media,300x600,"2,000,063","103,203",0,0
1/27/2014,Website Traffic,Hulu,P11196,Bag 300x250,Standard Banner,300x250,"545,316","7,252","479,878","302,323"
1/27/2014,Website Traffic,Hulu,P11130,Wallet 300x250,HTML5 Standard Banner,300x250,"939,165","42,074","892,206","588,855"
1/27/2014,Website Traffic,Hulu,P11196,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,468,142","44,484","1,071,743","632,328"
1/27/2014,Website Traffic,IHeartRadio.com,P11187,Wallet 300x250,HTML5 Standard Banner,300x250,"332,733","11,279",0,0
1/27/2014,Website Traffic,NBCUni.com,P11200,Tracking Pixel,Tracking Pixel,1x1,"1,351,473","10,000",0,0
1/27/2014,Website Traffic,Mobvious,P11140,Wallet FEP,In-Stream Video,1920x1080,"732,819","12,457","703,506","619,085"
1/27/2014,Website Traffic,NBCUni.com,P11146,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"971,184","11,654","767,235","644,477"
1/27/2014,Website Traffic,NBCUni.com,P11153,New Product 300x600,Mobile Rich Media,300x600,"2,027,384","30,816",0,0
1/27/2014,Website Traffic,Pandora Mobile US,P11148,New Product 300x600,Mobile Rich Media,300x600,"358,804",861,0,0
1/27/2014,Mobile Always-On,NBCUni.com,P11153,Tracking Pixel,Tracking Pixel,1x1,"2,018,224","89,609",0,0
1/27/2014,Mobile Always-On,Pandora Mobile US,P11340,Tracking Pixel,Tracking Pixel,1x1,"1,811,502","81,698",0,0
1/27/2014,Website Traffic,Mobvious,P11168,New Product 300x600,Mobile Rich Media,300x600,"431,521","3,797",0,0
1/27/2014,Website Traffic,Pandora.com,P11142,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"262,808","12,325","236,527","127,724"
1/27/2014,Website Traffic,Pandora.com,P11208,Wallet 300x250,HTML5 Standard Banner,300x250,"1,486,689","58,278",0,0
1/27/2014,Website Traffic,Mobvious,P11174,SL 728x90,In-Stream Tracking,728x90,"107,779","1,972",0,0
1/27/2014,Website Traffic,Mobvious,P11174,Wallet 300x250,HTML5 Standard Banner,300x250,"952,768","6,478",0,0
1/27/2014,Mobile Always-On,Pandora Mobile US,P11212,Bag 300x250,Standard Banner,300x250,"1,914,772","78,122",0,0
1/27/2014,Mobile Always-On,Pandora Mobile US,P11212,SL 728x90,In-Stream Tracking,728x90,"208,908","1,984",0,0
1/27/2014,Mobile Always-On,Hulu,P11196,Wallet FEP,In-Stream Video,1920x1080,"1,072,108","20,691","814,802","578,509"
1/27/2014,Mobile Always-On,Pandora Mobile US,P11297,SL 728x90,In-Stream Tracking,728x90,"1,005,551","3,016","734,052","579,901"
1/27/2014,Always-On,Yahoo En Espanol,P11172,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,116,735","32,050","1,072,065","707,562"
1/27/2014,Website Traffic,Yahoo En Espanol,P11194,Wallet FEP,In-Stream Video,1920x1080,"1,573,344","29,106","1,400,276","1,176,231"
1/27/2014,Website Traffic,YouTube US,P11122,SL 728x90,In-Stream Tracking,728x90,"31,217",255,"25,597","14,334"
1/27/2014,Mobile Always-On,Pandora Mobile US,P11313,New Product 300x600,Mobile Rich Media,300x600,"944,298","18,791","661,008","277,623"
2/3/2014,Mobile Always-On,BuzzFeed,P11144,Bag 300x250,Standard Banner,300x250,"1,503,052","10,220",0,0
2/3/2014,Website Traffic,BuzzFeed,P11144,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"2,054,456","88,136","1,931,188","869,034"
2/3/2014,Website Traffic,BuzzFeed,P11170,Wallet FEP,In-Stream Video,1920x1080,"1,414,305","54,592","1,287,017","1,029,613"
2/3/2014,Always-On,BuzzFeed,P11170,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"973,485","34,850","837,197","703,245"
2/3/2014,Always-On,BuzzFeed,P11204,Wallet 300x250,HTML5 Standard Banner,300x250,"1,274,466","36,067",0,0
2/3/2014,Always-On,CBS Interactive US,P11243,New Product 300x600,Mobile Rich Media,300x600,"827,063","39,037",0,0
2/3/2014,Always-On,Fox Sports,P11165,SL 728x90,In-Stream Tracking,728x90,"2,292,723","34,370",0,0
2/3/2014,Always-On,Fox Sports,P11185,Wallet FEP,In-Stream Video,1920x1080,"1,031,307","4,847","752,854","338,784"
2/3/2014,Always-On,Fox.com,P11211,Tracking Pixel,Tracking Pixel,1x1,"1,498,192","12,884",0,0
2/3/2014,Always-On,Hulu,P11191,Bag 300x250,Standard Banner,300x250,"1,396,731","37,711","1,340,861","616,796"
2/3/2014,Mobile Always-On,Pandora.com,P11314,Bag 300x250,Standard Banner,300x250,"1,283,507","58,014","1,116,651","870,987"
2/3/2014,Website Traffic,CBS Interactive US,P11139,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,920,311","7,681","1,862,701","1,806,819"
2/3/2014,Website Traffic,CBS Interactive US,P11139,Tracking Pixel,Tracking Pixel,1x1,"557,104","1,392",0,0
2/3/2014,Website Traffic,Fox Sports,P11183,Bag 300x250,Standard Banner,300x250,"1,269,496","10,917",0,0
2/3/2014,Always-On,YouTube US,P11182,Tracking Pixel,Tracking Pixel,1x1,"1,462,383","54,108","1,199,154","659,534"
2/3/2014,Website Traffic,IHeartRadio.com,P11184,New Product 300x600,Mobile Rich Media,300x600,"1,654,654","72,308",0,0
2/3/2014,Website Traffic,IHeartRadio.com,P11184,Wallet 300x250,HTML5 Standard Banner,300x250,"388,181","16,225",0,0
2/3/2014,Website Traffic,NBCUni.com,P11200,New Product 300x600,Mobile Rich Media,300x600,"797,219","32,845",0,0
2/3/2014,Website Traffic,NBCUni.com,P11146,New Product 300x600,Mobile Rich Media,300x600,"614,293","13,760",0,0
2/3/2014,Always-On,NBCUni.com,P11153,Bag 300x250,Standard Banner,300x250,"996,807","2,093",0,0
2/3/2014,Always-On,NBCUni.com,P11153,Wallet 300x250,HTML5 Standard Banner,300x250,"1,489,740","26,666",0,0
2/3/2014,Website Traffic,NBCUni.com,P11153,Bag 300x250,Standard Banner,300x250,"1,364,603","16,648",0,0
2/3/2014,Website Traffic,Pandora.com,P11208,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"755,930","11,112","559,388","397,165"
2/3/2014,Website Traffic,Mobvious,P11174,New Product 300x600,Mobile Rich Media,300x600,"606,206","3,152",0,0
2/3/2014,Always-On,Yahoo En Espanol,P11175,Tracking Pixel,Tracking Pixel,1x1,"1,108,240","32,028",0,0
2/3/2014,Mobile Always-On,Pandora Mobile US,P11259,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"647,206","18,768","556,597","294,996"
2/3/2014,Mobile Always-On,Pandora Mobile US,P11259,Wallet 300x250,HTML5 Standard Banner,300x250,"945,459","31,105",0,0
2/3/2014,Mobile Always-On,Pandora Mobile US,P11214,Wallet 300x250,HTML5 Standard Banner,300x250,"380,023","6,384",0,0
2/3/2014,Branding Campaign,YouTube US,P11262,Bag 300x250,Standard Banner,300x250,"924,521","50,109",0,0
2/3/2014,Branding Campaign,VEVO US,P11112,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,358,169","7,334","1,344,587","1,169,790"
2/3/2014,Website Traffic,Yahoo En Espanol,P11194,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"406,817","19,079","313,249","137,829"
2/3/2014,Website Traffic,Yahoo En Espanol,P11284,New Product 300x600,Mobile Rich Media,300x600,"1,311,619","24,920",0,0
2/3/2014,Mobile Always-On,Yahoo En Espanol,P11194,New Product 300x600,Mobile Rich Media,300x600,"1,817,982","33,087",0,0
2/3/2014,Website Traffic,YouTube US,P11114,New Product 300x600,Mobile Rich Media,300x600,"1,229,342","34,421","897,419","753,831"
2/3/2014,Mobile Always-On,Pandora Mobile US,P11313,Tracking Pixel,Tracking Pixel,1x1,"1,134,350","23,707","1,066,289","842,368"
2/3/2014,Mobile Always-On,Hulu,P11130,Wallet FEP,In-Stream Video,1920x1080,"376,629","17,324","308,835","253,244"
2/10/2014,Branding Campaign,BuzzFeed,P11170,New Product 300x600,Mobile Rich Media,300x600,"910,131","36,041",0,0
2/10/2014,Website Traffic,BuzzFeed,P11138,New Product 300x600,Mobile Rich Media,300x600,"377,775","8,613",0,0
2/10/2014,Website Traffic,BuzzFeed,P11144,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,938,030","56,202","1,860,508","1,730,272"
2/10/2014,Always-On,Fox Sports,P11165,New Product 300x600,Mobile Rich Media,300x600,"1,571,473","41,015",0,0
2/10/2014,Always-On,Fox Sports,P11185,Wallet 300x250,HTML5 Standard Banner,300x250,"130,592","2,742",0,0
2/10/2014,Always-On,Fox.com,P11211,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"559,770","29,611","475,804","437,739"
2/10/2014,Always-On,Hulu,P11115,Bag 300x250,Standard Banner,300x250,"1,474,451","74,607","1,076,349","581,228"
2/10/2014,Always-On,Hulu,P11115,Wallet FEP,In-Stream Video,1920x1080,"404,898","16,195","323,918","262,373"
2/10/2014,Always-On,Mobvious,P11140,Tracking Pixel,Tracking Pixel,1x1,"932,473","2,144",0,0
2/10/2014,Always-On,Pandora Mobile US,P11143,Wallet FEP,In-Stream Video,1920x1080,"163,454",964,"150,377","121,805"
2/10/2014,Website Traffic,CBS Interactive US,P11243,SL 728x90,In-Stream Tracking,728x90,"1,086,701","57,595",0,0
2/10/2014,Always-On,Pandora.com,P11141,Tracking Pixel,Tracking Pixel,1x1,"76,391",160,0,0
2/10/2014,Website Traffic,Fox Sports,P11183,Wallet FEP,In-Stream Video,1920x1080,"1,096,517","9,759","778,527","451,545"
2/10/2014,Mobile Always-On,Fox Sports,P11183,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,604,787","56,809","1,396,164","739,966"
2/10/2014,Website Traffic,Fox.com,P11207,New Product 300x600,Mobile Rich Media,300x600,"305,123","1,189",0,0
2/10/2014,Mobile Always-On,Pandora Mobile US,P11254,Wallet FEP,In-Stream Video,1920x1080,"1,040,668","11,135","832,534","457,893"
2/10/2014,Branding Campaign,Fox.com,P11154,Bag 300x250,Standard Banner,300x250,"468,513","1,077",0,0
2/10/2014,Website Traffic,Hulu,P11115,Wallet 300x250,HTML5 Standard Banner,300x250,"219,059","9,989","190,581","97,196"
2/10/2014,Website Traffic,Hulu,P11181,Wallet FEP,In-Stream Video,1920x1080,"802,522","18,698","730,295","416,268"
2/10/2014,Website Traffic,Mobvious,P11128,Tracking Pixel,Tracking Pixel,1x1,"1,435,129","72,617",0,0
2/10/2014,Branding Campaign,IHeartRadio.com,P11215,Wallet FEP,In-Stream Video,1920x1080,"1,092,279","13,325","841,054","782,180"
2/10/2014,Mobile Always-On,Pandora Mobile US,P11319,New Product 300x600,Mobile Rich Media,300x600,"83,834","3,395",0,0
2/10/2014,Mobile Always-On,Pandora Mobile US,P11216,Wallet FEP,In-Stream Video,1920x1080,"1,971,168","85,154","1,517,799","941,035"
2/10/2014,Mobile Always-On,NBCUni.com,P11166,Bag 300x250,Standard Banner,300x250,"1,423,417","23,059",0,0
2/10/2014,Mobile Always-On,NBCUni.com,P11146,SL 728x90,In-Stream Tracking,728x90,"1,423,310","73,442",0,0
2/10/2014,Branding Campaign,NBCUni.com,P11200,Bag 300x250,Standard Banner,300x250,"1,386,126","9,148",0,0
